,Song,Film,Year,Music Director,Lyricist,Singers
8892,http://giitaayan.com/viewisbsong.asp?id=1727,Thodasa Roomani Ho Jayen,1990,Bhaskar Chandavarkar,Kamlesh Pande,Chhaya Ganguly
8893,http://giitaayan.com/viewisbsong.asp?id=11459,Ek Aur Ek Gyarah,2003,Shankar-Ehsaan-Loy,Sameer,"Sneha Pant, Udit Narayan"
8894,http://giitaayan.com/viewisbsong.asp?id=13385,Priyanka,1995,A R Rahman,P K Mishra,"S P Balasubrahmanyam, Chitra/ ..."
8895,http://giitaayan.com/viewisbsong.asp?id=10302,Akeli Mat Jaiyo,1963,Madan Mohan,Majrooh,Lata
8896,http://giitaayan.com/viewisbsong.asp?id=11713,Hamaaraa Dil Aapke Paas Hai,2000,Sanjeev-Darshan,Javed Akhtar,"Hema Sardesai, Anil Kapoor, So..."
8897,http://giitaayan.com/viewisbsong.asp?id=10804,Chal Mere Bhaai,2000,Anand-Milind,Sameer,"Kumar Sanu, Alka Yagnik"
8898,http://giitaayan.com/viewisbsong.asp?id=3220,Namak Halaal,1982,Bappi Lahiri,,Kishore
8899,http://giitaayan.com/viewisbsong.asp?id=2719,Sitara,1980,R D Burman,Gulzar,"Lata, Bhupinder"
8900,http://giitaayan.com/viewisbsong.asp?id=13082,Mitti,1947,"Lal Mohammed, Paigankar",Maaharul Qadri,Khursheed
8901,http://giitaayan.com/viewisbsong.asp?id=10635,Balam,1949,Husnlal-Bhagatram,Qamar Jalalabadi,Rafi
8902,http://giitaayan.com/viewisbsong.asp?id=1728,Bhanwara/ Harjai,1944,Khemchand Prakash,Kedar Sharma,Saigal
8903,http://giitaayan.com/viewisbsong.asp?id=rmim0255,Patanga,1949,C Ramchandra,Rajinder Krishan,Lata
8904,http://giitaayan.com/viewisbsong.asp?id=2465,Ankahi,1984,Jaidev,,Bhimsen Joshi
8905,http://giitaayan.com/viewisbsong.asp?id=rmim0435,Ek Ke Baad Ek,1960,S D Burman,Kaifi Azmi,Rafi
8906,http://giitaayan.com/viewisbsong.asp?id=12534,Kahin Pyar Na Ho Jaye,1963,Kalyanji-Anandji,Indeevar,Mukesh
8907,http://giitaayan.com/viewisbsong.asp?id=13529,Pyaar Mohabbat,1988,Laxmikant-Pyarelal,Anand Bakshi,"Kavita Subramaniam, Mohammed A..."
8908,http://giitaayan.com/viewisbsong.asp?id=11639,Gunahon Ka Devta,1967,Shankar-Jaikishan,Hasrat,Mukesh
8909,http://giitaayan.com/viewisbsong.asp?id=1730,Deewaanaa,1952,Naushad,Shakeel,Lata
8910,http://giitaayan.com/viewisbsong.asp?id=13875,Roop Lekha,1949,Sajjad Hussain,Khumar Barabankwi,Rafi
8911,http://giitaayan.com/viewisbsong.asp?id=13132,Mera Naam Joker,1970,Shankar-Jaikishan,Hasrat,"Asha, Simi, Mukesh, Chorus"
8912,http://giitaayan.com/viewisbsong.asp?id=12588,Kal Aaj Aur Kal,1971,Shankar-Jaikishan,Neeraj,"Mukesh, Kishore, Asha"
8913,http://giitaayan.com/viewisbsong.asp?id=rmim0295,Mausi,1958,Vasant Desai,Bharat Vyas,"Talat, Lata"
8914,http://giitaayan.com/viewisbsong.asp?id=10934,Chiraagh Kahaan Roshni Kahaan,1959,Ravi,Ravi,Lata
8915,http://giitaayan.com/viewisbsong.asp?id=14987,Sargam,1950,C Ramchandra,P L Santoshi,"Lata, Saraswati Rani, Chorus"
8916,http://giitaayan.com/viewisbsong.asp?id=20800,Karam,2005,Vishal-Shekhar,"Vishal, Irshad Kamil",Alisha Chinoy
8917,http://giitaayan.com/viewisbsong.asp?id=1731,Mohraa,1994,Viju Shah,Anand Bakshi,"Udit Narayan, Alka Yagnik"
8918,http://giitaayan.com/viewisbsong.asp?id=14564,Vardi,1988,Annu Malik,Anand Bakshi,"Kumar Sanu, Chorus"
8919,http://giitaayan.com/viewisbsong.asp?id=14956,Andaz,1949,Naushad,Majrooh,Lata
8920,http://giitaayan.com/viewisbsong.asp?id=12568,Khel,1950,Sajjad Hussain,Shams Azimabadi,Meena Kapoor
8921,http://giitaayan.com/viewisbsong.asp?id=1732,Jaalsaaz,1959,N Dutta,Majrooh,"Kishore, Asha"
8922,http://giitaayan.com/viewisbsong.asp?id=14425,Tohfaa,1984,Bappi Lahiri,Indeevar,"Kishore, Asha"
8923,http://giitaayan.com/viewisbsong.asp?id=rmim0648,Ghunghroo,1983,Kalyanji-Anandji,,Asha
8924,http://giitaayan.com/viewisbsong.asp?id=13920,Soch,2002,Jatin-Lalit,Sameer,"Sonu Nigam, Richa Sharma"
