Song,Film,YearMusic Director,Lyricist,Singers
"bye bye bye bye
मैं तुझे छोड़ के कहाँ जाऊँगा
मेरे भोले सनम तेरे सर की क़सम जाके जल्दी मैं लौट आऊँगा
मैं तुझे छोड़ के ...

जब तक सजेगी साँसों की सरगम तेरे ही नग़्में गाता रहूँगा
मैं जिस्म हूँ तू जां होंगे कभी न जुदा
ऐसे न आँसू बहा हँस के मुझे कर विदा
मेरे भोले सनम ...

कैसे सहूँगा दर्द-ए-जुदाई तेरे बिना मैं कैसे रहूँगा
जाऊँगा लेके मैं साथ तुझको फिर न तुझे मैं bye bye कहूँगा
मैने जो वादे किए उनको निभाऊँगा मैं
तेरा यह चेहरा हसीं कैसे भुलाऊँगा मैं
मेरे भोले सनम ...

 ",Trinetra,1991,Anand-Milind,Sameer,Kumar Sanu
"C A T cat, cat माने बिल्ली
R A T rat, rat माने चूहा
अरे दिल है तेरे पंजे में तो क्या हुआ
C A T cat, ...

M A D mad, mad माने पागल
B O Y boy, boy माने लड़का
अरे मतलब इसका तुम कहो तो क्या हुआ
C A T cat, ...

अरी बावरी तू बन जा मेरी ज़रा सुन मैं क्या कहता हूँ
तुझे है ख़बर ओ जान-ए-जिगर तू है कौन और मैं क्या हूँ
G O A T goat, goat माने बकरी
L I O N lion, lion माने शेर
अरे दिल है तेरे पंजे में तो क्या करूँ
C A T cat, ...

लगे ताकने कभी आपने शीशा ले के मुँह देखा भी
तुम ही इक नहीं जहाँ में हसीन होगा कोई हम सा भी
N O S E nose, nose माने नाक
C R O W crow, crow माने कौवा
अरे मतलब इसका तुम कहो तो क्या हुआ
C A T cat, ...

मिला ले नज़र ओ जान-ए-जिगर तेरा क्या करेगी दुनिया
जहाँ से डरो ये सोचा करो हमें क्या कहेगी दुनिया
B A D bad, bad माने बुरा
B U T but, but माने लेकिन
अरे दिल है तेरे पंजे में तो क्या हुआ
C A T cat, ...

 ",Dilli Kaa Thug,1958,Ravi,Majrooh,"Kishore, Asha"
"censor
आया समय लेके प्यार प्यार छाई गुलों पे बहार
नई नवेली ज़मीं है कितनी हसीं दिख रही है
आओ हम करें इस दुल्हन का शऋंगार शऋंगार
करें इस दुल्हन का शऋंगार
आया समय लेके ...

 ",Censor,2001,Jatin-Lalit,Vinu Mahendra,"Vinod Rathod, Jaspindar Narula"
"Chocolate, Lime Juice, Ice Cream, टौफ़ियाँ
पहले जैसे अब मेरे शौक़ हैं कहाँ
गुड़िया, खिलौने मेरी सहेलियाँ
अब मुझे लगती हैं सारी पहेलियाँ
ये कौन सा मोड़ है उमर का

ये कैसा दीवानापन है क्या जानूँ, मैं क्या जानूँ 
मुशकिल हो गया ख़ुद को कैसे पहचानूँ, मैं पहचानूँ
दिन कटता है कटे न रतियाँ
किस से कहूँ मैं ये सारी बतियाँ
गुड़िया   ...

मन में तरंगे उठने लगी हैं ये कैसी, ये कैसी
अब जैसी हूँ पहले नहीं थी मैं ऐसी, मैं ऐसी
खिलने लगी हैं राहों में कलियाँ
अखियाँ ढूँढे सपनों की गलियां
गुड़िया   ...


 ",Hum Aapke Hain Kaun,1994,Ram Laxman,Dev Kohli,Lata
"तुम को पता है
तुम को पता है इस college के इक लड़के और लड़की में
 you know what I mean 
 my goodness  कौन हैं वो
क्या नाम है उन का
तुम को बता देता हूँ लेकिन देखो, यानि समझी?
उफ़्फ़ ओ, हद्‌्‌ है. कान में बोलो. सच्!?
हाँ बिलकुल सच है

college kaa ik la.Dakaa hai aur college की इक लड़की
नैन मिले और उनके दिल में इक चिंगारी भड़की
प्यार का चक्कर है ये है न
देखो किसी से न कहना

वो लड़का और ये लड़की कोई मान नहीं सकता है
कब क्या हो जाता है कोई जान नहीं सकता है

sir ने पूछा किस ने लड़ी थी पानीपत की लड़ाई
लड़के ने सोचा और बोला आज नहीं वो आई
प्यार का चक्कर है ये है न ...

college के बाहर भी सुना है वो दोनों मिलते हैं
अब तो देखें क्या हो भैया क्या क्या गुल खिलते हैं

लड़के की धुन में लड़की भी ऐसी है पगलाई
हिन्दी की कक्षा में भैया  english book  ले आई
क्यों कि प्यार का चक्कर है ये है न ...

कल जब लड़का college आया लड़की भी साथ आई
अच्छा?
मैं ने पूछा ये सब क्या है
क्या बोले वो?
बोलेंगे क्या
ल.ड्का काफ़ी झेंप गया और लड़की भी शरमायी
 so sweet 

जब से दोनों एक हुए हैं ये होता है अक्सर
लड़की का जब नाम पुकारा, लड़का बोला  yes sir! 
प्यार का चक्कर है ये है न ...


 ",Saath Saath,1982,Kuldeep Singh,Javed Akhtar,nan
"columbus columbus छुट्टीइ है आई

आओ कोई नया मुल्क ढूँढें चल के भाई

columbus columbus छुट्टीइ है आई
आओ कोई नया मुल्क ढूँढें चल के भाई
छुट्टी छुट्टी छुट्टी कोई लहर दिल में उट्ठी -2

( columbus columbus छुट्टीइ है आई
आओ कोई नया मुल्क ढूँढें चल के भाई ) -2
छुट्टी छुट्टी छुट्टी कोई लहर दिल में उट्ठी -2

ऐसी जगह दिल कहता है चलो

दुनिया की कोई बुराई जहाँ न हो

फ़ौजी तैयारी जंग और लड़ाई

भूख और बीमारी गंदी राजनीती

इन सबसे दूर कहीं तो होगी हँसती-गाती ज़िंदगी

columbus


मेहनत हमने पाँच दिनों की

पाई तब है दो दिन की छुट्टी

आओ ख़ुशी से झूमें हवाओं की तरह घूमें

कलियों को हम चूमें लहरों से खेलें

बचपन में लौट जायें पँख लगा के

उड़ना सीखें इस अम्बर की सैर करें

परदेसी हैं पंछी बन के नगर-नगर की सैर करें

फिर दरिया की ओर जायें ऊँची-नीची मौज आये

ऐसे झूले झुलायें आये नींद हमें

columbus
columbus columbus छुट्टीइ है आई
आओ कोई नया मुल्क ढूँढें चल के भाई
छुट्टी छुट्टी छुट्टी कोई लहर दिल में उट्ठी -2


देखो जो कोई लड़की प्यारी

अपनी इन आँखों में तुम उसके सपने रख लो

सागर की लहरों की साड़ी उसको पहनाओ

अम्बर के तारों के बुंदे उसको बनवाओ

उसको भी प्यार से ख़ुद से कहते रहो

प्यारा ये ख़ाब है दो दिन तो देख लो

ख़ाबों में ही दो दिन रहो

columbus
columbus columbus छुट्टीइ है आई
आओ कोई नया मुल्क ढूँढें चल के भाई
छुट्टी छुट्टी छुट्टी कोई लहर दिल में उट्ठी -2
columbus

 ",Jeans,1998,A R Rahman,Javed Akhtar,Sonu Nigam
"come on come on ओ कामाक्शी

तुझको दिखा दूँ मेरी जादूगरी

come on come on ओ कामाक्शी
तुझको दिखा दूँ मेरी जादूगरी

मुर्गी के पेट से यहाँ निकले खर्गोश देख लो

मिट्टी पे हाथ फेर दूँ निकलेंगे फूल देख लो

come on come on ओ कामाक्शी
तुझको दिखा दूँ मेरी जादूगरी

my my magic no no logic
my my magic no no logic
magic magic magic magic
magic cool magic cold magic up and magic down
magic hell magic well

दुनिय है magic

magic cool magic cold magic up and magic down
magic hell magic well

फेर दूँ सर पे हाथ मैं चोटी छः foot की बने

मोटू भैया को छू लूँ मैं अगर दुबला-पतला वो बने

चरस गाँजा मैं निकालूँ professor जी की जेब से

सुल्टे को उल्टा उल्टे को सुल्टा कुछ भी कर दूँ फ़रेब से

औरत को मैं मर्द बना दूँ मर्द को औरत मैं बना दूँ

जाने कोई नहीं जादू और टोना देखो

come on come on ओ कामाक्शी
तुझको दिखा दूँ मेरी जादूगरी

come on come on ओ कामाक्शी
तुझको दिखा दूँ मेरी जादूगरी
मुर्गी के पेट से यहाँ निकले खर्गोश देख लो
मिट्टी पे हाथ फेर दूँ निकलेंगे फूल देख लो

come on come on ओ कामाक्शी
तुझको दिखा दूँ मेरी जादूगरी

जो भी लिख दिया प्रेम पत्र में तुझको दिखा दूँ मैं देख लो

बुड्ढी हो जाये छोटी उम्र में जवाँ बना दूँ मैं देख लो

जिसको लग जाये हाथ अपना राजा बन जाये रात क

देखने वालों कर लो भरोसा जादूगर की बात का

दिन में दिखा दूँ रात के तारे देख लो आ के साथ हमारे

पूरे कर दूँ सपने तुम्हारे

my my magic no no logic
come on come on ओ कामाक्शी
तुझको दिखा दूँ मेरी जादूगरी

come on come on ओ कामाक्शी
तुझको दिखा दूँ मेरी जादूगरी
मुर्गी के पेट से यहाँ निकले खर्गोश देख लो
मिट्टी पे हाथ फेर दूँ निकलेंगे फूल देख लो
my my magic no no logic
my my magic no no logic

 ",Love Birds,1996,A R Rahman,P K Mishra,"Udit Narayan, Chorus"
"daddyy jii ho daddyy जी 
daddyy जी 
मेरी mummy को सताना नहीं अच्छा -2
सताना रुलाना जलाना नहीं अच्छा
हो daddyy जी 
मेरी mummy को सताना नहीं अच्छा -2

दिन भर में तुम पी जाते हो cigarette ke do tin
कभी रसोई में भी देखो बरतन हैं कुल तीन
देखो जी 
घर को आग लगाना नहीं अच्छा -2
सताना रुलाना ...

सुबह सवेरे आठ बजे तुम घर से दफ़तर जाते
श्याम को छुट्टी होती है घर आधी रात को आते
देखो जी 
इतनी देर से आना नहीं अच्छा -2
सताना रुलाना ...

बीवी घर में चुल्हा फूंके नन्हा शोर मचाये
बाप हमारा बाप रे बाप club में नाचे गाये
देखो जी
बीवी बच्चों को भुलाना नहीं अच्छा -2
सताना रुलाना ...


 ",Sagaai,1951,C Ramchandra,Rajinder Krishan,"Lata, chorus"
"सा रे गा मा
सा सा रे रे गा गा मा मा पाऽ
Ding Dong O baby sing a song
आज के शाम का, प्यार के नाम का
जब जब जब बाजे यादों के बंसी
तब तब दिल उड़ जाये बन के गीतों के पंछी
Ding Dong O baby sing a song ...

ज़ंजीर ज़ंजीर ज़ंजीर हैं पाँव में
पहरे हैं निगाह में
फिर भी उड़ती फिरते हैं
इन मदमस्त हवाओं में
प्रेमियों के छत पे गीतों के पंछी
Ding Dong O baby sing a song ...

तीरों से तलवारों से
न ऊँची दीवारों से
रुकेगा न ये लोगों से
यार जो मिले यारों से
दुनियाँ से न हारे जीतों के पंछी
Ding Dong O baby sing a song ...


 ",Hero,1983,Laxmikant-Pyarelal,Anand Bakshi,"Anuradha Paudwal, Manhar, chorus"
"को: disco station disco  -4

आ: ओ छोड़ो छोड़ो मेरी राहें, मेरी बाहें आ
को: ये है प्यार की हथकड़ी

आ: गाड़ी आई वो ना आया आई बन-ठन के मैं
 बड़ी-बड़ी आँखें लिये खड़ी junction पे मैं
 तौबा नज़र किससे लड़ी
को: लग गई प्यार की हथकड़ी
आ:disco station disco 

आ: सीटी बजी T.T. आया करूँ क्या मैं हसीं
 दिल डरे पास मेरे Ticket भी तो नहीं
 मुश्किल ये आन कैसी पड़ी
को: पड़ गई प्यार की हथकड़ी
आ: disco station disco 

आ: रोको नहीं लोगो मुझे ठोकरें खाने दो
गले लगो प्यार करो पर मुझे जाने दो
 मैं तो चली उसकी गली
को: पहनके प्यार की हथकड़ी
आ: disco station disco 

 ",Hathkadi,1981,Bappi Lahiri,Majrooh,"Asha, Chorus"
"Dream-girl, dream-girl, dream-girl, dream-girl
किसी शायर की ग़ज़ल, dream-girl
किसी झील का कंवल, dream-girl
कभी तो मिलेगी, कहीं तो मिलेगी,
आज नहीं तो कल, dream-girl ...

सिमटी गुलाबों में, लिपटी हिजाबों में - 2
सासों में आती है, भीगी शराबों में
पास रहती है वो पल दो पल, कौन?  dream-girl ...

जब देखती है वो, मैं पूछ लूंगा तो  - 2
शबनम, घटा, चांदनी बन जाते हैं दोस्तों
रंग रूप है वो लेती बदल, हे, dream-girl ...

 ",Dream Girl,1977,Laxmikant-Pyarelal,Anand Bakshi,Kishore
"first time देखा तुम्हें हम खो गया
second time में लव्‌्‌ हो गया
ये अक्खा इण्डिआ जानता है हम तुमपे मरता है
दिल क्या चीज़ है जानम अपनी जान तेरे नाम करता है

तेरे से marriage करने को मैं बम्बई से गोआ आया
लेकिन तेरे डैड्‌्‌ ने मुझको Red Signal दिखलाया
father से तेरे क्या लेना मुझे
तू चाहे मुझको मैं चाहूँ तुझे
ये अक्खा इण्डिआ जानता है हम तुमपे मरता है
दिल क्या चीज़ है जानम अपनी जान तेरे नाम करता है

मैं तेरी चाहत में जानम बन बैठा दीवाना
लेकिन तूने प्यार को मेरे न समझा न जाना
मेरी जान कर ले तू जितना सितम
छोड़ेंगे न तेरी चाहत सनम
ये अक्खा इण्डिआ जानता है हम तुमपे मरता है
दिल क्या चीज़ है जानम अपनी जान तेरे नाम करता है


 ",Jaan Tere Naam,1992,Nadeem-Shravan,nan,nan
"आवारा नहीं सौदागर नहीं दीवाना अरे नहीं
अनाड़ी खिलाड़ी जादूगर बाज़ीगर नहीं नहीं
ना तू खिलाड़ी न तू बाज़ीगर ना तू अनाड़ी न तू जादूगर
जाने तुझे देख कर क्यों लगता है डर
gambler gambler tuu hai gambler

दिल को चुरा के अपना बना के धोखा तू देगा है मुझे खबर
gambler gambler ...

न मैं खिलाड़ी न मैं बाज़ीगर न मैं अनाड़ी न मैं जादूगर
जान-ए-मन ओ जान-ए-जां कुछ भरोसा कर
gambler gambler haa.N mai.n gambler

दिल को चुरा के अपना बना के धोखा न दूंगा ओ बेखबर
gambler gambler ...

बातों ही बातों में तुम पर कर लूं मैं कैसे भरोसा
जिसने किया है भरोसा होता है उसको ही धोखा
मैं ऐसा इंसां नहीं हूँ चाहे मुझे आज़मां ले
आशिक़ वही जो मोहब्बत में हो जान अपनी लुटा दे
नज़रों में मेरे दिल की जुबां है देखूं तो पहचान कर
gambler gambler ...

फिर तो मुबारक हो तुमको अब ये मुलाकात मेरी
ले कर करवटें गुज़रेगी न रात मेरी
यादों को दिल लगाकर करना पड़ेगा गुज़ारा
यादों में मानेगा कैसे दिल तेरी चाहत का मारा
आँखों के रस्ते तस्वीर मेरी ले जाना तुम खींचकर
gambler gambler ...

 ",Gambler,1995,Annu Malik,Vinay Dave,"Vinod Rathod, Sadhana Sargam, ..."
"good night
ल : कल की हसीं मुलाक़ात के लिए
 आज रात के लिए
 हम-तुम जुदा हो जाते हैं
 अच्छा चलो सो जाते हैं
कि : कल की हसीं मुलाक़ात ...

 आप
 नींद नहीं क्या आई
ल : नींद मेरी आप ने चुराई
 मैं तो नहीं सोई आधी रात होई
 आपको हुआ क्या ख़ास वजह कोई
कि : अकेले में हम घबरा गए
 चले गए थे फिर आ गए
 तो माफ़ करना इस बात के लिए
 आज रात के लिए ...

ल : आप
 अब है क्या मजबूरी
कि : हाँ
 काम था एक ज़रूरी
ल : लम्बी-लम्बी रातें छोटी मुलाक़ातें
कि : भूल गया था मैं दो-चार बातें
ल : बातों से न दिल अपना भरे
 आँखों में कई सपने भरे
 तो सपनों की इस बारात के लिए
 आज रात के लिए ...

कि : मैं आया आप जाते हैं
ल : हम आपसे शरमाते हैं
कि : मैं तो हूँ दीवाना मैं ये नहीं जाना
 हमसे शर्म क्या क्या है बहाना
ल : देखो हम थे अजनबी
 हो गई मगर अब दोस्ती
 बदले हुए हालात के लिए
 आज रात के लिए ...

 ",Charas,1976,Laxmikant-Pyarelal,Anand Bakshi,"Kishore, Lata"
" Happy Birthday to you  - 2
 Happy Birthday to you, Sunita, Happy Birthday to you 

बार बार दिन यह आये, बार बार दिल यह गाये
तू जिये हज़ारों साल, यह मेरी आरज़ू है
 Happy Birthday to you      - 2
 Happy Birthday to you, Sunita, Happy Birthday to you 

बेक़रार होके दामन, थाम लूँ मैं किसका - 2
क्या मिसाल दूँ मैं तेरी, नाम लूँ मैं किसका
नहीं, नहीं, ऐसा हसीं, कोई नहीं है
जिस पे यह नज़र रुक जाये, बेमिसाल जो कहलाये
तू जिये हज़ारों साल, यह मेरी आरज़ू है
 Happy Birthday to you      - 2
 Happy Birthday to you, Sunita, Happy Birthday to you 

औरों की तरह कुछ मैं भी, तोह्फ़ा ले आता
मैं तेरी हसीं महफ़िल में, फूल ले के आता
जिन्हें कहा उसे चाहा, फूलों की ज़रूरत
जो पहर खुद कहलाये, हर कली का दिल धड़काये
तू जिये हज़ारों साल, यह मेरी आ.रज़ू है
 Happy Birthday to you      - 2
 Happy Birthday to you, Sunita, Happy Birthday to you 

 ",Farz,1967,Laxmikant-Pyarelal,Anand Bakshi,Rafi
"happy happy birthday to you.
happy happy birthday to you.

तुझे देखकर जीता हूँ मैं
तू ही तो है मेरी ज़िंदगी
तुझे देखकर हँसता हूँ मैं
तू ही तो है मेरी हर खुशी
happy happy birthday to you.

तुम्हें देखकर जीता हूँ मैं
तुम ही तो हो मेरी ज़िंदगी
तुम्हें देखकर हँसता हूँ मैं
तुम ही तो हो मेरी हर खुशी
happy happy birthday to you.

ऐसा भी क्या मिलता है नैन लड़ाने में
ऐसा कोई काम करो हो नाम ज़माने में
दिल में कुछ कुछ होता है नैन लड़ाने में
इससे अच्छा काम है क्या आज ज़माने में
ऐसा ही लड़का है इस दिल में रहता है
मंज़िल पे रुकता नहीं पानी सा बहता है
सुनता है ये सबकी पर अपनी करता है
जो भी है प्यारा है करने दो जो करता है
happy happy birthday to you.

बने तू भी दूल्हा ये चाहत है मेरी
सदा खुश रहे वो ये चाहत है मेरी
मुबारक
किस्मत अपने हाथों से तुमको बनानी है
मेहनत का फल मिलता है ये रीत पुरानी है
प्यार तो मुझको करने दो चढ़ती जवानी है
आग में मुझको जलने दो प्रीत निभानी है
छोड़ो तुम इस ग़म को जीने की बातें करो
मेरा ग़म छोड़ो तुम बस यूँ ही हँसते रहो
कमसिन है नादां है भोला है ये तो बड़ा
अपनी तो है ये दुआ इसको मिले प्यार सदा
happy happy birthday to you.
तुम्हें देखकर ...

 ",Kya Yehi Pyaar Hai,2002,Sajid-Wajid,Jaliis Rashid,"Alka Yagnik, Kumar Sanu, Sonu ..."
