Song,Film,YearMusic Director,Lyricist,Singers
"बात-बात में रूठो न
अपने आप को लूटो न
( ये रंग बदलती दुनिया है
तक़दीर पे अपनी रूठो न ) -2
बात-बात में रूठो न

( लाज की लाली आज बनी है
भीगी पलकें अबरू तनी है ) -2
( आँखों में सुर्ख़ी दिल में मुहब्बत
होँठों पे छुप्पी हँसी है ) -2

बात-बात में रूठो न
अपने आप को लूटो न
ये रंग बदलती दुनिया है
तक़दीर पे अपनी रूठो न
बात-बात में रूठो न

( ढलती हैं रातें ले कर अंधेरा
लायीं बहारें नया सवेरा ) -2
( जीवन सफ़र में दुख हो या सुख हो
करना है फिर भी बसेरा ) -2

बात-बात में रूठो न
अपने आप को लूटो न
ये रंग बदलती दुनिया है
तक़दीर पे अपनी रूठो न
बात-बात में रूठो न

( फूल ख़ुशी के हर कोई ले-ले
कोई न देखे आँसू के मेले ) -2
( तुम जो हँसे तो हँस देगी दुनिया
रोना पड़ेगा अकेले ) -2

बात-बात में रूठो न
अपने आप को लूटो न
ये रंग बदलती दुनिया है
तक़दीर पे अपनी रूठो न
बात-बात में रूठो न

 ",Seema,1955,Shankar-Jaikishan,Hasrat,Lata
"बावरा कन्हैया देखो 
मुझको पुकारे आके द्वारे
कहो कोई जाके सखी 
पूरा नहीं हुआ अब मेरा सिंगार
सखी, मेरा सिंगार

आए रे, बाँधी नहीं केश अभी
बिखरा है भेष अभी
बिंदिया सजाई नहीं
माँग नहीं भरी
कहो कोई जाके सखी ...

आए रे बिन कजरा के मेरे 
फीके हैं नैन अभी
कँगना पहने कहाँ
पायल नहीं बाँधी
कहो कोई जाके सखी ...

 ",Mahaananda,1984,Manas Mukherjee,nan,Lata
"बावरा मन देखने चला एक सपना -2 

बावरे से मन की देखो बावरी हैं बातें -2 
बावरी सी धड़कनें हैं, बावरी हैं साँसें 
बावरी सी करवटों से निन्दिया दूर भागे 
बावरे से नैन चाहें बावरे झरोखों से 
बावरे नज़ारों को तकना 
बावरा मन देखने चला एक सपना 

बावरे से इस जहाँ में बावरा इक साथ हो 
इस सयानी भीड़ में बस हाथों में तेरा हाथ हो 
बावरी सी धुन हो कोई बावरा इक राग हो  
ओ बावरी सी धुन हो कोई बावरा इक राग हो 
बावरे से पैर चाहें बावरे तरानों के 
बावरे से बोल पे थिरकना 
बावरा मन देखने चला एक सपना 

बावरा सा हो अँधेरा बावरी ख़ामोशियाँ 
बावरा सा हो अँधेरा बावरी ख़ामोशियाँ 
थरथराती लौ हो मद्धम बावरी मदहोशियाँ 
बावरा इक घुँघटा चाहे हौले हौले बिन बताए -2 
बावरे से मुखड़े से सरकना
बावरा मन देखने चला एक सपना -4

 ",Hazaaron Khwaishein Aisi,2005,Shantanu Moitra,Swanand Kirkire,Swanand Kirkire
"बावरी चकोरी
बावरी चकोरी करे दुनिया से चोरी चोरी चंदा से प्यार -2
बावरी चकोरी

ऐसे में आके सनम दिल में समा जा, अब तो आजा -2
देख देख राह तेरी मैं तो हुई बेक़रार

बावरी चकोरी करे दुनिया से चोरी चोरी चंदा से प्यार
बावरी चकोरी

मिलके तुझे दिल में मेरे बजती है शहनाई
छनक छनक नाच उठी अब मेरी तनहाई
चाँद रात घूम के फिर लाई है किरनों के हार

बावरी चकोरी करे दुनिया से चोरी चोरी चंदा से प्यार
बावरी चकोरी

तेरे सिवा मुझ को सनम और न कुछ भाये
तुझ पे फ़िदा होने को दिल मचल मचल जाये
दिल तो है क्या चीज़ करूँ जान भी तुझ पर निसार

बावरी चकोरी
बावरी चकोरी करे दुनिया से चोरी चोरी चंदा से प्यार
बावरी चकोरी

 ",Anarkali (Pakistan),1958,Rashid Attre,"Tufail Hoshiyaarpuri, Qateel Shifai",Noorjehan
"( बम बबम बबम बम बम लहरी ) -2 लहर लहर नदिया गहरी
जीवन नदिया बहती जाए शाम सवेरे दोपहरी
बबम बबम बम ...

नाव चला मत मस्ती में तूफ़ानों की बस्ती में
लोभ की मारी दुनिया वाले नाग हैं तेरी कश्ती में
इसका काटा पानी न माँगे दुनिया है इतनी ज़हरी
बबम बबम बम ...

नफ़रत से मन क्यूँ है भरा प्रेम से मिल इन्सान ज़रा
प्रेम ने तुझको जन्म दिया है प्रेम तो है भगवान तेरा
प्रेम की भक्ति कर ले फिर तू बन देहाती या शहरी
बबम बबम बम ...

जग की बातें दूर के ढोल कान तेरे कच्चे मत खोल
बस में तेरे कोई बात नहीं है तू क्या बोलेगा मत बोल
हो तेरा कल्याण बना ले आत्मा गूंगी बहरी
बबम बबम बम ...

 ",Ramu Dada,1961,Chitragupt,Majrooh,Mukesh
"बच के बलम कहाँ जाओगे
हमें तुम पीछे पीछे पाओगे

आज तो सैंया मोरा ज़माना
जाए न खाली मेरा निशाना
मारूँगी तिरछी नजरिया
छोड़ूँ न तोहे साँवरिया
बच के बलम कहाँ जाओगे ...

प्रीत कजरा नैन में डोले
मन में जवानी खाए झकोले
ठहरे न सिर पे चुन्दरिया
छोड़ूँ न तोहे ...

जाओगे कैसे मोड़ के बैंया
तुम से लड़ूँगी आज मैं सैंया
देखेगी सारी नगरिया
छोड़ूँ न तोहे ...

 ",Nayaa Andaaz,1956,O P Nayyar,Jaan Nisar Akhtar,Shamshad
"ल : बच के जाने न दूँगी दिलदार तेरी मेरी लागी सरत -2
र : ( खाली जाएँगे ) -2 नैनों के बान तेरी मेरी लागी सरत -2
ल : बच के जाने न ...

 चाँद से मुख पे बिंदिया चमकने लगी -2
 लाल होंठों की अग्नि भड़कने लगी
 रूप ऐसा किसी ने न देखा कहीं -2
 हर क़दम पे जवानी छलकने लगी -2
 ( मार डालेगा ) -2 सोलह सिंगार
 तेरी मेरी लागी सरत
 बच के जाने न ...

र : तेरे पीछे है जग मेरे पीछे है तू
 हर क़दम पे मेरा हाथ खींचे है -2
 लोग जल-जल के देखे हैं मेरी तरफ़ -2
 मेरी बाँहों में जब आँख मींचे है तू -2
 ( बड़ा अड़ियल है ) -2 मनवा हमार 
 तेरी मेरी लागी सरत
ल : बच के जाने न ...

 मुझको नैनों में कोई छुपाए नहीं -2
 सीधा-सादा मुझे प्यार भाए नहीं
 सच कहूँगी पिया चाहे लागे बुरा -2
 तुझको छेड़े बिना चैन आए नहीं -2
 ( तीखी बतियों से ) -2 बढ़ता है प्यार
 तेरी मेरी लागी सरत
 बच के जाने न ...

 ",Prince,1969,Shankar-Jaikishan,Farooq Kaisar,"Rafi, Lata"
"जागो बचालो बचालो बचालो बचालो
बचालो बचालो बचालो बचालो
मुहब्बत का काँटा चुभा है निकालो

संभालो संभालो संभालो संभालो
संभालो संभालो संभालो संभालो
मुहब्बत का काँटा चुभा है निकालो

थोड़ी थोड़ी बेकरारी हल्का हल्का दर्द है
देख ज़रा छू के दिलजानी दिल का शोला सर्द है
करवट लेके जागती हूँ नींद ना आए रात भर
रहने लगी हूँ अब तो दिलबर खुद से भी मैं बेखबर
होंठों से मुझे जान-ए-जां लगालो
संभालो संभालो ...

प्यासी प्यासी धड़कनों में जाने कैसा शोर है
सच कहते हैं दुनिया वाले इश्क़ पे किसका ज़ोर है
तन्हाई में जब अकेले जानम तेरा नाम लूँ
तेरा समझ के मदहोशी में अपना दामन थाम लूँ
गिर जाऊँ ना कहीं मुझको तुम उठालो
बचालो बचालो ...

 ",Khullam Khulla Pyaar Karen,2001,Anand-Milind,Sameer,"Sonu Nigam, Alka Yagnik"
"बचके तू रहना रे बचके तू रहना
नहीं दूजा मौक़ा मिलेगा संभलना
हे बचके तू ...

कहीं भी छुपा हो तुझे ढूँढ लेगा
ये है इश्क़ समझा तुझे कर ही देगा खल्लास
ऐ खल्लास ऐ हे खल्लास ऐ खल्लास
बचके तू ...

नज़रों की क़ैद में तू जो आ गया समझ ले
इक बार फंस गया तो तू फंस गया समझ ले
नहीं तेरे जैसा कोई भी निशाना
हाँ बचके तू ...

तू खिंचा चला आएगा बस यहीं पे
ये है रोग ऐसा अगर हो गया तो खल्लास
हे खल्लास हे खल्लास ऐ खल्लास

जीना है तेरा मुश्किल तू मर गया समझ ले
मरना भी तेरा मुश्किल तू वो कर गया समझ ले
हे हे हे
जहाँ में तेरा बस यही है ठिकाना
ये वो रास्ता है जहाँ मुड़ना मुश्किल
ये वो दास्तां है शुरू हो गई तो खल्लास
ऐ खल्लास
दी रा रा रा रा खल्लास हः हः हः अरे बुजदिल खल्लास
बचके तू ...
खल्लास एकदम खल्लास

 ",Company,2002,Sandeep Chowtha,Nitin Raikwar,"Asha, Sudesh Bhonsale, Sapana ..."
"बचना ऐ हसीनों, लो मैं आ गया 
हाय, बचना ऐ हसीनों, लो मैं आ गया 
हुस्न का आशिक़, हुस्न का दुश्मन 
अपनी अदा है यारों से जुदा 
कोरस : है हो 
है, बचना ... 

है, दुनिया में नहीं है, आज मेरा सा दीवाना 
प्यार वालों की जुबां पे है मेरा ही तराना 
सबकी रंग भरी आँखों पे आज, चमक रहा है मेरा ही नशा 
कोरस : है हो 
है, बचना ... 

जाम मिलतें हैं अदब से, शाम देती है सलामी 
गीत झुकते है लबों पे, साज़ करते हैं गुलामी 
हो कोई, परदा या बादशाह, आज तो सब हैं मुझपे फ़िदा 
कोरस : है हो 
है, बचना ...

एक हंगामा उठा दूं, मैं तो जाऊं जिधर से 
जीत लेता हूँ दिलों को, एक हल्की सी नजर से 
महबूबों की महफ़िल में आज, छायी है छायी है मेरी ही अदा 
कोरस : है हो 

है, बcअहना ...

 ",Hum Kisise Kum Naheen,1977,R D Burman,Majrooh,Kishore
"बचना ज़रा ये ज़माना है बुरा
कभी मेरी गली में न आना

मेरी गली में आने वाले हो जाते हैं ग़म के हवाले
इन राहों से जो भी गुज़रे सोच समझ कर दिल को उछाले
बड़े बड़े दिल यहाँ बनते हैं निशाना
बचना ज़रा यह ज़माना ...

नैन लड़ा कर दिल को लुभाना दिल को लुभा कर पास बुलाना
पास बुलाकर खुद घबराना तेरा भी जवाब नहीं वाह

आँख मिलाकर आँख चुराना आँख चुरा कर दिल को जलाना
दिल को जलाकर होश भुलाना होश भुलाकर मजनूं बनाना
इन लैलाओं का है यह खेल पुराना
बचना ज़रा यह ज़माना ...

शोख़ी समझें शर्म-ओ-हया को आप बुलाएं अपनी कज़ा को
और फिर मांगे हमसे हरजाना
बचना ज़रा यह ज़माना ...

 ",Milaap,1955,N Dutta,Sahir,"Geeta, Rafi"
"बचपन हर ग़म से बेगाना ( होता है ) -2
बचपन हर ग़म ...

कोई फ़िक़्र न चिन्ता मस्ती का आलम
जीवन खेल सा लगता है
सुख मिलते हैं राहों में फिर के
घर तो जेल सा लगता है
हो इसी उमर में ख़ुशियों का ख़ज़ाना होता है
बचपन हर ग़म ...

हम ढूँढते हैं जीवन भर वो ख़ुशियाँ
बचपन में जो पाते हैं
वो हँसते हुए दिन गाती वो रातें
लौट कर फिर नहीं आते हैं
हो यादों के साए में वक़्त बिताना होता है
बचपन हर ग़म ...

 ",Geet Gaataa Chal,1975,Ravindra Jain,Ravindra Jain,Kishore
"गी : बचपन के दिन -2
 बचपन के दिन भी क्या दिन थे
 हाय हाय
 ( बचपन के दिन भी क्या दिन थे
 उड़ते फिरते तितली बन के ) -2
 बचपन

 ( वहाँ फिरते थे हम फूलों में पड़े
 जहाँ ढूँढते सब हमें छोटे बड़े ) -2
 थक जाते थे हम कलियाँ चुनते

 बचपन के दिन भी क्या दिन थे
 उड़ते फिरते तितली बन के
 बचपन

 कभी रोये तो आप ही हँस दिये हम
 छोटी छोटी ख़ुशी छोटे छोटे वो ग़म
 हाय रे हाय हाय हाय हाय रे हाय
 कभी रोये तो आप ही हँस दिये हम
 छोटी छोटी ख़ुशी छोटे छोटे वो ग़म
 हाय क्या दिन थे वो भी क्या दिन थे

 बचपन के दिन भी क्या दिन थे
 उड़ते फिरते तितली बन के
 बचपन

 ",Sujaataa,1959,S D Burman,Majrooh,"Asha, Geeta"
"ळत:
बचपन के दिन भुला न देना
Oऽ
बचपन के दिन भुला न देना

षम्शद:
आज हँसे कल रुला न देना - 2

Bओथ:
Oऽ बचपन के दिन भुला न देना
 
षम्शद:
लम्बे हैं जीवन के रस्ते - 2
आओ चले हम गाते हँसते
गाते, हँसते
आअ.... आआअ....

ळत:
दूर देस एक महल बनायें
प्यार का जिस में दीप जलायेँ
दीप जलायें

Bओथ:
दीप जलाकर बुझा न देना
आज हँसे कल रुला न देना 
Oऽ बचपन के दिन भुला न देना
 
ळत:
रुत बदले या जीवन बीते
दिल के तराने हों न पुराने
 
षम्शद: 
नैंओन में बन कर सपन सुहाने
आयेंगे एक दिन यही ज़माने
यही ज़माने

Bओथ:
याद हमारी मिटा न देना
आज हँसे कल रुला न देना 
Oऽ बचपन के दिन भुला न देना


 ",Deedaar,1951,Naushad,Shakeel,"Lata, Shamshad"
"बचपन की मोहब्बत को दिल से न जुदा करना
जब याद मेरी आए मिलने की दुआ करना

घर मेरी उम्मीदों का सूना किए जाते हो
दुनिया ऐ मुहब्बत की लूटे लिए जाते हो
जो ग़म दिए जाते हो उस ग़म की दुआ करना
जब याद मेरी आए ...

सावन में पपीहा का सँगीत सुनाऊँगी
फ़रियाद तुझे अपनी गा-गा कर सुनाऊँगी
आवाज़ मेरी सुन के दिल थाम लिया करना
जब याद मेरी आए ...

 ",Baiju Bawra,1952,Naushad,Shakeel,Lata
"बचपन की याद धीरे धीरे प्यार बन गयी
आ देख एक फुलवारी अब गुलज़ार बन गयी

दिल में मोहब्बत आयी जवानी के साथ साथ
मेरी दिल की नगरी प्यार का संसार बन गयी
आ देख एक फुलवारी ...

दुनिया से जिसको हम ने छिपाया था बार बार
वो बात आके होंठों पर इक़रार बन गयी
आ देख एक फुलवारी ...


 ",Shaheed,1948,Ghulam Haider,Qamar Jalalabadi,Lalita Dewoolkar
 ,Gulnar (Pakistan),1953,Ghulam Haider,Qatil Shifai,Noorjehan
"बच्चे मन के सच्चे
सारी जग के आँख के तारे
ये वो नन्हे फूल हैं जो
भगवान को लगते प्यारे

खुद रूठे, खुद मन जाये, फिर हमजोली बन जाये
झगड़ा जिसके साथ करें, अगले ही पल फिर बात करें
इनकी किसी से बैर नहीं, इनके लिये कोई ग़ैर नहीं
इनका भोलापन मिलता है, सबको बाँह पसारे
बच्चे मन के सच्चे   ...

इन्ससान जब तक बच्चा है, तब तक समझ का कच्चा है
ज्यों ज्यों उसकी उमर बढ़े, मन पर झूठ क मैल चढ़े
क्रोध बढ़े, नफ़रत घेरे, लालच की आदत घेरे
बचपन इन पापों से हटकर अपनी उमर गुज़ारे
बच्चे मन के सच्चे   ...

तन कोमल मन सुन्दर
हैं बच्चे बड़ों से बेहतर
इनमें छूत और छात नहीं, झूठी जात और पात नहीं
भाषा की तक़रार नहीं, मज़हब की दीवार नहीं
इनकी नज़रों में एक हैं, मन्दिर मस्जिद गुरुद्वारे
बच्चे मन के सच्चे   ...


 ",Do Kaliyan,1968,Ravi,Sahir,Lata
"र : बच्चों तुम तक़दीर हो कल के हिन्दुस्तान की
 बापू के वरदान की नेहरू के अरमान की
 बच्चों तुम तक़दीर ...

 आज के टूटे खँडहरों पर तुम कल का देश बसाओगे
 जो हम लोगों से न हुआ वो तुम कर के दिखलाओगे
 ( तुम नन्हीं बुनियादें हो ) -2 दुनिया के नए विधान की
 बच्चों तुम तक़दीर ...

आ : दीन-धरम के नाम पे कोई बीज फूट का बोए ना
 जो सदियों के बाद मिली है वो आज़ादी खोए ना
दो : ( हर मज़हब से ऊँची है ) -2 क़ीमत इन्सानी जान की
 बच्चों तुम तक़दीर ...

र : फिर कोई जयचन्द न उभरे फिर कोई जाफ़र न उठे
 ग़ैरों का दिल ख़ुश करने को अपनों पर खंज़र न उठे
दो : ( धन-दौलत के लालच में ) -2 तौहीन न हो ईमान की
 बच्चों तुम तक़दीर ...

आ : नारी को इस देश ने देवी कह कर दासी जाना है
 जिसको कुछ अधिकार न हो वो घर की रानी माना है
दो : ( तुम ऐसा आदर मत लेना ) -2 आड़ हो जो अपमान की
 बच्चों तुम तक़दीर ...

 रह न सके अब इस दुनिया में युग सरमायादारी का
 तुमको झंडा लहराना है मेहनत की सरदारी का
 ( तुम चाहो तो ) -2 बदल के रख दो क़िस्मत हर इन्सान की
 बच्चों तुम तक़दीर ...

 ",Didi,1959,N Dutta,Sahir,"Rafi, Asha"
"बदल चली है जो उनकी नज़र तो क्या कीजे
हाँ
बदल चली है जो उनकी नज़र तो क्या कीजे
वफ़ा का थाम के दामन ये इल्तजा कीजे
हाँ

( जादू बुरा बंगाल का
पूरब न जइहो
पूरब न जइहो बालमा ) -2
हो
न जइहो मोरे बालमा
पूरब न जइहो
न जइहो बालमा
पूरब न जइहो
हाँ हाँ
पूरब न जइहो बालमा ओ

हाँ
जीते जी दिल पे जुदाई का तीर सहना पड़ा
जला के आशियाँ अपना क़फ़स में रहना पड़ा
हाय
लिखा है कौन से पत्थर ने ये लैला का नसीब
के थाम के चाक कलेजा ज़ुबाँ से कहना पड़ा

क्या

जादू बुरा बंगाल का
न जइहो हो बालमा
पूरब न जइहो
न जइहो न जइहो बालमा
जादू बुरा बंगाल का
पूरब न जइहो
पूरब न जइहो बालमा

रोज़ करते हो बहाने तुम्हें हम जान गये
कोई जाने या ना जाने तुम्हें हम जान गये -2
पहले तो दिल को चुराया है भरी महफ़िल में -2
अब लगे आँख चुराने तुम्हें हम जान गये
हो
अब लगे आँख चुराने तुम्हें हम जान गये

न जइहो बालमा
पूरब न जइहो
न जइहो बालमा
पूरब न जइहो
पूरब न जइहो बालमा
जादू बुरा बंगाल का
पूरब न जइहो
पूरब न जइहो बालमा

 ",Chaandni Chowk,1954,Roshan,Shailendra,Lata
"बदल जाये दुनियाँ न बदलेंगे हम
तुम्हारी क़सम
तुम्हारे हैं कि जब तक दम में है दम
तुम्हारी क़सम

कहो नाम का उल्फ़त का बदनाम क्यों है
हमारी वफ़ाओं पे इल्ज़ाम क्यों है
बताओ तो होगा तुम्हारा क़रम
तुम्हारी क़सम
बदल जाये दुनियाँ ...

ये माना है मुश्किल मुहब्बत की राहें
अगर डाल दो तुम बाहों में बाहें
खुशी से सहेंगे तुम्हारे सितम
तुम्हारी क़सम
बदल जाये दुनियाँ ...

जहाँ तक जहाँ के नज़ारे रहेंगे
तुम्हारे रहे हैं तुम्हारे रहेंगे
न डोलेंगे उल्फ़त में अपने क़दम
तुम्हारी क़सम
बदल जाये दुनियाँ ...


 ",Captain Kishore,1957,Chitragupt,Tanvir Naqvi,Talat
"बदला दिलवाएगा या रब तू सितमगारों से
तू मददगार है तो क्या ख़ौफ़ जफ़ाकारों से
काठ की तेग़ जो तू चाहे तो वो काम करे
जो के मुमकिन ही नहीं लोहे की तलवारों से

 ",Aalam Aara,1931,Ferozeshah Mistri / B Irani,nan,Zubeida
"बदला तो ऐसे बदला है कुछ रंग-ए-गुलसिताँ
इक फूल पे बहार है इक फूल पे ख़िज़ाँ

ज़िन्दगी भर ग़म जुदाई का मुझे तड़पाएगा
हर नया मौसम पुरानी याद लेकर आएगा
ज़िन्दगी भर ग़म ...

हैं वही राहें वही गलियाँ मगर सुनसान हैं
तू नहीं तो दिल की सारी बस्तियाँ वीरान हैं
दिल में है जो ग़म तेरा वो जान लेकर जाएगा
ज़िन्दगी भर ग़म ...

हों मुबारक तुझको ख़ुशियाँ और मुझे रुसवाइयाँ
तुझको तेरा घर सलामत और मुझे तनहाइयाँ
मरते-मरते भी तेरा ही नाम लब पे आएगा
ज़िन्दगी भर ग़म ...

 ",Miss Bombay,1957,Hansraj Behl,"Prem Dhawan, Asad Bhopali",Rafi
"बदले बदले मेरे सरकर नज़र आते हैं
घर की बरबादी के आसार नज़र आते हैं

मेरे मालिक ने मुहब्बत का चलन छोड़ दिया
कर के बरबाद उम्मीदों का चमन छोड़ दिया
फूल भी अब तो ख़ार नज़र आते हैं
घर की बरबादी के ...

डूबे रहते थे मेरे प्यार में जो शाम-ओ-सहर
मेरे चेहरे से नहीं हटती थी कभी जिनकी नज़र
मेरी सूरत से ही बेज़ार नज़र आते हैं
घर की बरबादी के ...


 ",Chaudhvin Kaa Chaand,1960,Ravi,Shakeel,Lata
"म: परदेसी घर आए कि रह-रह करे विचार
 पहले किसका नाम लूँ, किसकी करूँ पुकार
 
म: (बदली-बदली दुनिया है मेरी
 जादू है ये क्या तेरे नैनन का  ) - 2
ल: (बनके कजरा अँखियों में रहा
 एक सुंदर सपना बचपन का  ) - 2

ल: कहती थी सदा दिल की धड़कन - 2
 तू बैठ बिछाके अपने नयन
 सच्ची है अगर ये तेरी लगन
 लौट आएगा साथी जीवन का
दो: बदली-बदली दुनिया ...

म: मेरे गीतों के चंचल स्वर - 2
 आए होंगे बादल बनकर
 बरसे होंगे इस आँगन पर
 देके संदेस मेरे मन का
दो: बदली-बदली दुनिया ...

ल: इस रात को चाँद तले ये मिलन
दो: इस रात को चाँद तले ये मिलन
ल: चुप देख रहा है नील गगन
दो: दौहरायेगा ये मद-मस्त पवन
 संगीत हमारी धड़कन का
 बदली-बदली दुनिया ...

 ",Sangeet Samrat Tansen,1962,S N Tripathi,Shailendra,"Lata, Mahendra Kapoor"
"बदली है न बदलेगी हम बंजारों की रीत
दुश्मन कहा तो दुश्मन कहा मीत कहा तो मीत
बदली है न बदलेगी ...

पर्वत ऊँचे सागर गहरे दे नहीं सकते प्यार पर पहरे
पहरे तोड़ के रख देती है जिसका नाम है प्रीत
बदली है न बदलेगी ...

रब ने बनाई अपनी जोड़ी ये जोड़ी न जाए तोड़ी
इक जीवन प्यासा है कितने जीवन जाएं बीत
बदली है न बदलेगी ...

फूल सितारे बस तेरा ही देते हैं सब मेरी गवाही
पायल के घुंघरू भी गाते हैं ये गीत
बदली है न बदलेगी ...

 ",Banjaaran,1991,Laxmikant-Pyarelal,Anand Bakshi,"Anuradha Paudwal, Mohammed Aziz"
"ल:  बदली में छिपे चाँद ने कुछ मुझसे कहा है
    बदली में छिपे चाँद ने कुछ मुझसे कहा है
हे: हमने भी सुना है
ल:  गाती हुई एक गीत नया आयी हवा है
हे: हमने भी सुना है   ...
                     
ल:  ये रंग भरी रात ये चन्दा ये सितारे
    ये रंग भरी रात ये चन्दा ये सितारे
हे: एक साथ हमें देख के करते हैं इशारे
ल:  कहते हैं ज़मीं पर कोई दिल दिलसे मिला है
हे: हमने भी सुना है

दो: बदली में छिपे चाँद ने कुछ मुझसे कहा है
    हमने भी सुना है

ः: दो चाँद चमकते हैं मैं किस चाँद को देखूँ
   दो चाँद चमकते हैं मैं किस चाँद को देखूँ
ळ: उस चाँद को मैं छोड़ के इस चाँद को देखूँ
ळ: वो चाँद तो दुनियाँ का है ये चाँद मेरा है
ः: हमने भी सुना है
                     
दो: बदली में छिपे चाँद ने कुछ मुझसे कहा है
    हमने भी सुना है

ळ: मत देख मेरे चाँद को O चाँद जलन से
   मत देख मेरे चाँद को O चाँद जलन से
ळ: मैं तोड़ के रख दूँगी तुझे नील गगन से
ः: मिलते हुए दिल देख के ये चाँद जला है
ळ: हमने भि सुना है... 
                     
दो: बदली में छिपे चाँद ने कुछ मुझसे कहा है
    हमने भी सुना है


 ",Shatranj,1956,C Ramchandra,Rajinder Krishan,"Hemant, Lata"
"बदली से निकला है चाँद
परदेसी सैंया लौट के तू घर आ जा घर आ जा
बदली से निकला है ...

पूछे पता तेरा ठंडी हवाएँ
चुप मुझे देख के चुप हो जाएँ
लाएँ तो कैसे तुझे ढूँढ के लाएँ हो ढूँढ के लाएँ
बदली से निकला है ...

आ के गुज़र गईं कितनी बहारें
और बरस गईं कितनी फुहारें
आजा तुझे हम कब से पुकारें हो कब से पुकारें
बदली से निकला है ...

 ",Sanjog,1961,Madan Mohan,Rajinder Krishan,Lata
"बदली तेरी नज़र तो नज़ारे बदल गए
वो चाँदनी वो चाँद सितारे बदल गए

लहरों से पूछ लीजिए साहिल भी है गवाह
कश्ती मेरी डुबोके वो धारे बदल गए
 
वो ख़्वाब वो ख़याल वो अरमाँ वो हसरतें
बदले जो तुम तो सारे के सारे बदल गए

मैं भी वही हूँ मेरी वफ़ाएँ भी हैं वहीं
फिर क्यों तेरी नज़र के इशारे बदल गए
 
 ",Bari Bahoo,1951,Anil Biswas,Prem Dhawan,Lata
"न न न न न ए ए ए
न न न न न -2
बदन धुआँ-धुआँ
आ
ये आग है कहाँ-कहाँ
सुलग रहा है किस लिये
मेरा रुआँ-रुआँ

बदन धुआँ-धुआँ
ये आग है कहाँ-कहाँ
सुलग रहा है किस लिये
मेरा रुआँ-रुआँ
ए ए ए
न न न न न

मोहब्बतों की शख़ पर
खिले तो इस तरह
जुदा न सारी उम्र हों
मिलें तो इस तरह
हवायें
हवायें
हवायें भी आ न सकें
हमारे दर्मियाँ

( बदन धुआँ-धुआँ
ये आग है कहाँ-कहाँ
सुलग रहा है किस लिये
मेरा रुआँ-रुआँ  ) -2

ओ आ
( ये आँच कैसी आँच है
पिघल रही हूँ मैं ) -2
बारिशें अजीब हैं
ये बारिशें अजीब हैं
के जल रही हूँ मैं
(बहक रही हैं धड़कनें
नशे में है समाँ ) -2

बदन धुआँ-धुआँ
बदन धुआँ-धुआँ
आ
आग है कहाँ-कहाँ
सुलग रहा है किस लिये
मेरा रुआँ-रुआँ

बदन धुआँ-धुआँ
आ
ये आग है कहाँ-कहाँ
सुलग रहा है किस लिये
मेरा रुआँ-रुआँ

 ",Meenaxi - Tale of 3 Cities,3,A R Rahman,Rahat Indori,Asha
"बदन पे सितारे लपेटे हुए,
ओ जान-ए-तमन्ना किधर जा रही हो
ज़रा पास आओ तो चैन आ जाए,
ज़रा पास आओ तो चैन आ जाए

हमीं जब ना होंगे, तो ऐ दिलरुबा,
किसे देखकर, हाय, शरमाओगी
ना देखोगी फिर तुम कभी आइना,
हमारे बिना रोज़ घबराओगी
बदन पे सितारे लपेटे हुए ...

है बनने संवरने का जब ही मज़ा,
कोई देखने वाला आशिक़ तो हो
नहीं तो ये जलवे हैं बुझते दिये,
कोई मिटने वाला एक आशिक़ तो हो
बदन पे सितारे लपेटे हुए ...

मुहब्बत कि ये इंतहा हो गई,
कि मस्ती में तुमको खुदा कह गया
ज़माना ये इंसाफ़ करता रहे,
बुरा कह गया या भला कह गया
बदन पे सितारे लपेटे हुए ...

 ",Prince,1969,Shankar-Jaikishan,Hasrat,Rafi
" 
(बदनाम
बदनाम मुहब्बत कौन करे) /-2
और इश्क़ को रुसवा कौन करे -/2
बदनाम
 
जब दे दिया दिल ही हाथों से /-2
फिर आप से शीकवा कौन करे /-2
बदनाम
 
आखों में समये जब तुम हो
और दिल में समये जब तुम हो -/2
फिर तुम ही बता दो आके ज़रा /-2
दुनिया की तमन्ना कौन करे -/2
बदनाम
बदनाम मुहब्बत  /थ्रीदोत्स
 
आंसू तो किये हैं खूश्क मगर
इतना तो बतादो अब आकर /-2
जो आग लगी है सीने में /-2
उस आग को ठण्डा कौन करे /-2
बदनाम
बदनाम मुहब्बत  /थ्रीदोत्स
 

 ",Dost,1944,Sajjad Hussain,Shums Lucknowi,Noorjehan
