Song,SongTitleEnglish,SongTitleHindi,Year,MovieEnglish,MovieHindi,Music Director,Lyricist,SingersEnglish,SingersHindi
"प्यासे प्यासे लबों पे
बरसा दे बारिशें
बरसा दे बारिशें
सुलगा सुलगा बदन है
भडकी है आतिशें
भडकी है आतिशें
तेरी तलब लगी है हर सू
मेरा मतलब ही है बस तू
ओ भीगे भीगे से लम्हें
भीगे भीगे से हम हैं
भीगे भीगे पर खौले-खौले से
भीगे भीगे...

ना हूँ मै बस में आ
बाहों में कस ले आ
है तन-बदन तो तर बतर हुआ
धीरे धीरे
कुछ सोच है बहकी
कछ साँस दहकी दहकी
है ये असर जो इस कदर छुआ
धीरे धीरे
गीली-गीली हैं ये साँसें
भीगा भीगा है ये मन
तेरी तलब लगी है हर सू...",Bheege Bheege,भीगे भीगे,2019, Amavas,अमावस,अंकित तिवारी,अनुराग भोमिया,"Ankit Tiwari,  Sunidhi Chauhan","अंकित तिवारी, सुनिधि चौहान"
"दिल को दिल से कुछ है कहना
दिल से अब ना दूर रहना
दिल की बस यही गुज़ारिश है
धड़कनों की सुन ले बातें
जो लबों से कह ना पाते
दिल की बस यही गुज़ारिश है

जबसे मेरा दिल तेरा हुआ
पूछो ना मुझको मुझे क्या हुआ
अब तेरी बाहों में जीना मुझे
वरना है मर जाना
जबसे मेरा दिल...

हाँ शायद ये पल, फिर ना मिले
ना ख़त्म हो, ये सिलसिले
बन के दुआ, तुम जो मिले
इक ज़िन्दगी, आओ जी लें
मेरे इरादों ने तय कर लिया
ज़र्रा भी अब ना रहे दरमियाँ
मेरी वफ़ाओं की है ये अदा
गर हो जुदा हो जाऊँ फ़ना
जबसे मेरा दिल...",Jabse Mera Dil,जबसे मेरा दिल,2019, Amavas,अमावस,संजीव-दर्शन,संदीप नाथ,"Armaan Malik,  Palak Muchhal","पलक मुछाल, अरमान मलिक"
"होने लगा इस तरह मेरी गलती है
दिल को रोका तो ये ज़ुबाँ चलती है
इश्क को मैंने बड़ा समझाया
इश्क के आगे कहाँ चलती है
तेरा ना करता ज़िक्र
तेरी ना होती फ़िक्र
तेरे लिये दिल रोता ना कभी
यूँ ना बहाता अश्क
मैं भी मनाता जश्न
खुद के लिये भी जीता ज़िंदगी

बाखुदा दिल गया
बाखुदा दिल गया...

तेरा ना करता ज़िक्र..

जिस्म से तेरे मिलने दे मुझे
बेचैन ज़िन्दगी इस प्यार में थी
उँगलियों से तुझपे लिखने दे ज़रा
शायरी मेरी इंतज़ार में थी
मुझपे लुटा दे इश्क
मुझको सिखा दे इश्क
किस्मत मेरे दर आ गया जो तू
मुझको जगाये रख
खुद में लगाये रख
के रात भर मैं अब ना सो सकूँ
तेरा ना करता ज़िक्र...",Zikr,ज़िक्र,2019, Amavas,अमावस,असद खान,जुनैद वसी,Armaan Malik,अरमान मलिक
"साँस लेने से भी ज़्यादा
तुम ज़रूरी हो गए
जी रहे थे हम अधूरे
तुम से पूरे हो गए
साँस लेने से भी...

मेरी धड़कन, तेरी धड़कन
दोनों दिलों की एक है तड़पन
मेरी धड़कन...
साँस लेने से भी...

आँखें ये मेरी, जो बोलती हैं
धड़कन ये तेरी, वो तोलती है
आँखें ये मेरी...
जीने के सवालों में
यूँ प्यार का रंग भर ला
के लफ़्ज़ों से फिर कुछ भी
मुश्किल हो बयां करना
जीने के सवालों में...
मेरी धड़कन...",Dhadkan,धड़कन,2019, Amavas,अमावस,संजीव-दर्शन,संदीप नाथ,"Jubin Nautiyal,  Palak Muchhal","जुबिन नौटियाल, पलक मुछाल"
"तंग आ चुके हैं कश्मकश-ए-ज़िन्दगी से हम
ठुकरा ना दें जहां को कहीं बेदिली से हम
तंग आ चुके

लो आज हमने तोड़ दिया, रिश्ता-ए-उम्मीद
लो अब कभी गिला ना करेंगे किसी से हम
ठुकरा न दें जहां को कहीं बेदिली से हम
तंग आ चुके

गर ज़िन्दगी में मिल गये फिर इत्तेफाक़ से
पूछेंगे अपना हाल तेरी बेबसी से हम
ठुकरा न दें जहां को कहीं बेदिली से हम
तंग आ चुके

ओ आसमान वाले कभी तो निगाह कर
अब तक ये ज़ुल्म सहते रहे खामोशी से हम
ठुकरा न दें जहां को कहीं बेदिली से हम
तंग आ चुके...",Tang Aa Chuke Hain,तंग आ चुके हैं,1958, Light House,लाइट हाउस,एन.दत्ता,साहिर लुधियानवी,Asha Bhosle,आशा भोंसले
"तंग आ चुके हैं कश्मकश-ए-ज़िंदगी से हम
ठुकरा न दें जहां को कहीं बेदिली से हम

हम ग़मज़दा हैं, लाये कहाँ से ख़ुशी के गीत
कहाँ से ख़ुशी के गीत
देंगे वो ही जो पाएँगे इस ज़िन्दगी से हम

उभरेंगे एक बार अभी दिल के वलवले
अभी दिल के वलवले
माना के दब गए हैं ग़म-ए-ज़िन्दगी से हम

लो आज हमने तोड़ दिया रिश्ता-ए-उम्मीद
रिश्ता-ए-उम्मीद
लो अब कभी गिला न करेंगे किसी से हम",Tang Aa Chuke Hain,तंग आ चुके हैं,1957, Pyaasa,प्यासा,एस.डी.बर्मन,साहिर लुधियानवी,Md.Rafi,मोहम्मद रफ़ी
"दिल-ए-नादाँ तुझे हुआ क्या है
आख़िर इस दर्द की दवा क्या है
दिल-ए-नादाँ तुझे हुआ क्या है

हम हैं मुश्ताक़ और वो बेज़ार
या इलाही, ये माजरा क्या है
दिल-ए-नादाँ...

मैं भी मुँह में ज़बान रखता हूँ
काश पूछो के मुद्दआ क्या है
दिल-ए-नादाँ...

जब कि तुझ बिन नहीं कोई मौजूद
फिर ये हंगामा, ऐ खुदा क्या है
दिल-ए-नादाँ...

हमको उनसे वफ़ा की है उम्मीद
जो नहीं जानते वफ़ा क्या है
दिल-ए-नादाँ...

जान तुम पर निसार करता हूँ
मैं नहीं जानता, दुआ क्या है
दिल-ए-नादाँ...",Dil-e-Naadaan,दिल-ए-नादाँ,1954, Mirza Ghalib,मिर्ज़ा ग़ालिब,ग़ुलाम मोहम्मद,मिर्ज़ा ग़ालिब,"Talat Mahmood,  Suraiyya","तलत महमूद, सुरैया"
"ओ कड़ियो गुड़ किन्ने खालेया, स्वीटी
गुड़ वाली चा किन्ने पीती, स्वीटी
बुवा जी दा नाड़ा किन्ने खिचेया, हाँ
ओ खिंच के मारी किन्ने सीटी
ओह छड्डो जी छड्डो
जा के पकड़ो वो हलवाई
के जिसने गुड़ की बना दी मिठाई
ओ सबको बात है ये समझाई

ओ गुड़ नालो इश्क़ मिठा
ओ गुड़ नालो इश्क़ मिठा (ओए होए)
ओ गुड़ नालो इश्क़ मिठा (आए हाय)
ओ रब्बा लगे ना किसे नू जावे
ओ गुड़ नालो इश्क़ मिठा ओए
सोहणी मेरा दिल ले गयी (ओए होए)
हाए कुड़ी मेरी जान ले गयी (आए हाय)
ओ मुझको यार कोई तो बचाए
गुड़ नालो इश्क़ मिठा

चाँद चटोरा शगना दा जोड़ा
बज्ज दिया ने शहनाइयाँ जी
रंग रंगीली मेहंदी ला के
भर भर जाण कलाइयाँ जी
डोली लैके आया ढोलणा
ओ गुड़ नालो
ओ गुड़ नालो

हाए फ़ोटो तेरी खिंच खिंच रखदा नी
मारेगा इशारा तेरी अंख दा नी
फ़ोटो तेरी खिंच खिंच...
सुण वे मुंडेया दूर ही रह
तेरा चेहरा मैनु जचदा नई
पीछे-पीछे क्यूँ है घुमदा
ओह गुड़ नालो
ओह गुड़ नालो
ओ गुड़ नालो इश्क़ मिठा...

हाय, दिल वाली बातें कभी मुझको बता
कुड़िये तू इक वारी हँस के तो जा
दिल की ना मानो दिल बड़ा बेईमान
तुझपे जो आया तो मैं हुई बदनाम
जावे जावे नैयो बोलणा
ओ गुड़ नालो
ओ गुड़ नालो
ओ गुड़ नालो इश्क़ मिठा...",Gud Naal Ishq Mitha,गुड़ नाल इश्क मिठा,2019, Ek Ladki Ko Dekha Toh Aisa Laga,एक लड़की को देखा तो ऐसा लगा,रोचक कोहली,गुरप्रीत सैनी,"Harshdeep,  Navraj","हर्षदीप कौर, नवराज हंस"
"फर्राटे वाला फैन, खर्राटे मारे मैन
उठ जा रे उठ जा प्यारे, चादर में क्यूँ पैर पसारे
फर्राटे वाला फैन...
सूरज आ धमका है, सपना इक चमका है
घूमी घड़ी की सुई, फेंक निकालो कान से रुई
करना क्या है ये किसको पता है
और जिसको पता है, वो करता कहाँ है
तो हौले हौले सबको जगाओ
उठाओ और कहो
(गुड मॉर्निंग)
मरम्मत की ज़रूरत है
(गुड मॉर्निंग)
अरे निकला ये महूरत है
(गुड मॉर्निंग)
सपने सारे वो सच में बदलने चलो
(गुड मॉर्निंग)
खिड़की दरवाज़े खोलो तो
(गुड मॉर्निंग)
नयी हवा से मिलो तो
(गुड मॉर्निंग)
चाहे दिल जो भी कह जाने कर जाने दो
कर जाने दो, उठो

भूल कर बिता समां पुराना
चल चलें सुना है
मिलने को आया नया ज़माना
चल चलें के सबको है अब ये बताना
करना क्या है, ये जो भी नया है
समझ में जो आए, तो आए मज़ा है
धीरे से कानों में फुसफुसाओ
या चिल्लाओ और कहो
(गुड मॉर्निंग)
लो कर ली हमने जुर्रत है
(गुड मॉर्निंग)
ये सोच खूबसूरत है
(गुड मॉर्निंग)
सपने सारे वो सच में बदलने चलो
गुड मॉर्निंग...

हुआ है सवेरा, जागे मन मेरा
हुआ है सवेरा, जागे मन तेरा मेरा
हुआ है सवेरा, जागे मन मेरा
उठो, जागो
उठो, कम ऑन, उठो",Good Morning,गुड मॉर्निंग,2019, Ek Ladki Ko Dekha Toh Aisa Laga,एक लड़की को देखा तो ऐसा लगा,रोचक कोहली,गुरप्रीत सैनी,"Vishal Dadlani,  Shannon Donald","विशाल ददलानी, शेनॉन डोनाल्ड"
"हाँ मुंडेया नू कर किल तू गोरिए
सानू एक वारी मिल तू सोह्निये
दिल वाली गल दूँ मैं बता
आजा नेड़े मेरे सुन ले ज़रा
मैं ता फँसना नी चाल इच तेरे
रहना दस फुट दूर तू मेरे
मैनू मिलदे ने रोज़ बथेरे
तेरे जैसे आवारा

तुझपे नज़र कब से है पर
अब मुझे नहीं है ज़रा सा भी सबर
कैसे मैं करूँ तुझपे यकीं
दिल टूट जावे ना ये लगता है डर
प्रेज़ ऐसे ना मैं करता किसी को
कैसे करे से इससे सीखो
जाल में अपने लपेटे सभी को
कर डाला तूने दिल को फ़िनीतो
फ़िनीतो, फ़िनीतो
कर डाला तूने...
तू मेरी बोनीता मैं तेरा सेनोरीतो

कर तू रहम बेबी थोड़ा हमपे
ऐसे फ़्लोर पे ना मार तू जम्पें
तुझ जैसे देखी नहीं कहीं भी कसम से
नखरे दिखाती है ये बचपन से
कोई नहीं तोड़ तू ऐसी बला है
रंग तेरा गोरा लक्क पतला है
हुसन तेरा कातिल उमर अठरा है
लड़कों बचकर ये खतरा है
तू है ताज़ी जैसे लेमन मोजीतो
देखने की चीज़ है देखें तभी तो
तू मेरी बोनीता मैं तेरा सेनोरीतो
कल डाला तूने...

मेरी तेरी सब मान गा शर्ते
ए टू ज़ेड मैं उठा लूँगा खर्चे
चाहे तुझे दिल फेंक लगे
सच तेरे उत्ते असी मरदे
माना तुझमें न कोई कमी है
लव शव तेरे वस दा नहीं है
वादे जितने भी तूने किए
मुझे फेक बड़े लगदे
सुन मेरी गर्ल आजा मेरे वल
सारी दुनिया में छप जाएगी खबर
क्यूँ पड़ा है तू पीछे मेरे ही
मैं ना आऊँ तेरे नाल सुन बेखबर
प्रेज़ ऐसे ना मैं करता...",Finito,फ़िनीतो,2019, Amavas,अमावस,अभिजीत वघानी,"इक्का, कुणाल वर्मा","Jubin Nautiyal,  Ikka,  Sukriti Kakar","इक्का, जुबिन नौटियाल, सुकृति कक्कड़"
"अखियाँ दे कोळ, रह जाणे दे
कहना है जो, कह जाणे दे

तेरे ख़यालों में, बीते ये रातें
दिल मेरा मांगे एक ही दुआ
तू सामने हो, और करूँ मैं बातें
लम्हा रहे यूँ ठहरा हुआ
पहले तो, कभी यूँ
मुझको ना ऐसा कुछ हुआ
दीवानी लहरों को जैसे साहिल मिला

ओ, इक लड़की को देखा तो ऐसा लगा
इक लड़की को देखा तो ऐसा लगा

ओ मेरे सोणेया वे, छड्ड सारी गलियाँ मैं
नाल तेरे तुर चलेया मैं
लैचल मुझको दुनिया से तू दूर
चोरी-चोरी जद तैनू तकेया मैं
खुद को संभाल ना सकेया मैं
चढ़ गया सजणा तेरा ये फ़ितूर

लंग जाणी वे, मर जाणी रात
कहनी जो थी, कह दे वो बात
लंग जाणी रे...
हो, इक लड़की को देखा तो...",Ek Ladki Ko Dekha,एक लड़की को देखा,2019, Title Track,एक लड़की को देखा तो ऐसा लगा,रोचक कोहली,"गुरप्रीत सैनी, जावेद अख्तर","Darshan Raval,  Rochak Kohli","दर्शन रावल, रोचक कोहली"
"(रुआँ रुआँ, रौशन हुआ
धुआँ धुआँ, जो तन हुआ)

पंछी चला, उस देस को
है जहाँ, रातों में, सुबह घुली
पंछी चला, परदेस को
के जहाँ, वक्त की, गाँठ खुली

रुआँ रुआँ, रौशन हुआ
धुआँ धुआँ, जो तन हुआ
रुआँ रुआँ...
हाँ नूर को, ऐसे चखा
मीठा कुआँ, ये मन हुआ
रुआँ रुआँ...

गहरी नदी, में डूब के
आखिरी साँस का, मोती मिला
सदियों से था, ठहरा हुआ
हाँ गुज़र ही गया, वो काफ़िला
पर्दा गिरा, मेला उठा
खाली कोई, बर्तन हुआ
माटी का ये, मैला घड़ा
टूटा तो फिर, कंचन हुआ
रुआँ रुआँ...",Ruan Ruan,रुआँ रुआँ,2019, Sonchiriya,सोनचिड़िया,विशाल भारद्वाज,वरुण ग्रोवर,Arijit Singh,अरिजीत सिंह
"रात भर का है मेहमाँ अँधेरा
किस के रोके रुका है सवेरा
रात भर का है...

आ कोई मिल के तदबीर सोचें
सुख के सपनों की ताबीर सोचें
जो तेरा है वो ही ग़म है मेरा
किस के रोके रुका है सवेरा
रात भर का है...

रात जितनी भी संगीन होगी
सुबह उतनी ही रंगीन होगी
ग़म न कर गर है बादल घनेरा
किस के रोके रुका है सवेरा
रात भर का है...",Raat Bhar Ka Hai,रात भर का है,1958, Sone Ki Chidiya,सोने की चिड़िया,ओ.पी.नैय्यर,साहिर लुधियानवी,"Md.Rafi,  Asha Bhosle","मोहम्मद रफ़ी, आशा भोंसले"
"आप यूँ ही अगर हमसे मिलते रहे
देखिए एक दिन प्यार हो जाएगा
आप यूँ ही अगर...

ऐसी बातें न कर ओ हसीं जादूगर
मेरा दिल तेरी आँखों में खो जाएगा
आप यूँ ही अगर...

पीछे-पीछे मेरे आप आतीं हैं क्यूँ
मेरी राहों में आँखें बिछाती हैं क्यूँ
आप आती हैं क्यूँ
क्या कहूँ आपसे ये भी एक राज़ है
एक दिन इसका इज़हार हो जाएगा
आप यूँ ही अगर...

कैसी जादूगरी की अरे जादूगर
तेरे चेहरे से हटती नहीं ये नज़र
हाय मेरी ये नज़र
ऐसी नज़रों से देखा अगर आपने
शर्म से रंग गुलनार हो जाएगा
आप यूँ ही अगर...

मैं मोहब्बत की राहों से अंजान हूँ
क्या करूँ, क्या करूँ मैं परेशान हूँ
मैं परेशान हूँ
आपकी ये परेशानियाँ देखकर
मेरा दिल भी परेशान हो जाएगा
आप यूँ ही अगर...",Aap Yun Hi Agar,आप यूँ ही अगर,1962, Ek Musafir Ek Hasina,एक मुसाफ़िर एक हसीना,ओ.पी.नैय्यर,राजा मेहदी अली खान,"Md.Rafi,  Asha Bhosle","मोहम्मद रफ़ी, आशा भोंसले"
"नाइट है सगाई वाली
हो जाओ टिप-टॉप
गाओ देसी ढोलक पे
गाना ये हिप-हॉप
नाइट है सगाई वाली...

चलती रहे ठुमकों वाली
बैटरी नॉन-स्टॉप
आज है रोमांटिक तारों की छैंया जी
(तारों की छैंया जी)
स्टूपिड मोरे सैंया
ना पकड़े मोरी बैंया जी
स्टूपिड मोरे सैंया
ना पकड़े मोरी बैंया जी
दूर-दूर ये नाचे
मुझे बार-बार इग्नोर करे
है प्यार में डूबी दिल की नैया जी
स्टूपिड मोरे सैंया...

नैना कजरीले बड़े फुर्तीले
बडे बेईमानी से ये फ्लर्ट करते
सजना जी लोफर समझे ना ऑफर
इश्क वाली फीलिंग मेरी हर्ट करते
इसको दिये हैं कितने, मौके-मौके
मेरा तो है आगे लगता, ये ओके-ओके
इक पल का भी मैंने ब्रेकअप किया तो
सौ पल करेगा ये दैया-दैया जी
(दैया-दैया जी)
स्टूपिड मोरे सैंया...

घर के सारे मेम्बर, स्टेप ये रिमेम्बर
करो ओर बिजली से मारो झटके
डांस का करेंट लगे, दो सौ पर्सेंट लगे
होगा फिर हंगामा जो थोड़ा हट के
ऑन हे देखो कैमरा, फोटो खींचो
खोलो रे मोरे बलमा, ना आँखें मीचो
मेरे संग नाचे तू जो बाहें पकड़ के
हारूँगी तुझपे दिल का रुपैया जी
(दिल का रुपैया जी)
स्टूपिड मोरे सैंया...",Stupid Saiyaan,स्टुपिड सैयां,2019, Why Cheat India,व्हाई चीट इंडिया,कृष्णा सोलो,कुमार,Prabhjee Kaur,प्रभजी कौर
"तू, कितना कामयाब
तू, चढ़ता अफताब
तू, नोट गिन जनाब
मेरा खून तेरा ख़्वाब
साले मेरी नींदों का
साले मेरी नींदों का
साले मेरी नींदों का
अब तू ही दे हिसाब
तू, कितना कामयाब...

रातों जाग के मेहनत की
जो होता है वो होनेे दो
तेरी मम्मी प्यार से कहती थी
बिटवा को और सोने दो
टुयूशन कार में जाएगा
एसी घर में खायेगा
मुन्ना तू बस बाल बना
ये तुझसे ना हो पाएगा
तू, आँखों का चिराग
तू, पैदा ही नवाब
साले मेरी नींदों का
अब तू ही दे हिसाब
तू, कितना कामयाब...",Kaamyaab,कामयाब,2019, Why Cheat India,व्हाई चीट इंडिया,अग्नि,जूही सकलानी,Mohan Kanan,मोहन कनन
"तो क्या हुआ जुदा हुए
मगर है ख़ुशी मिले तो थे
तो क्या हुआ मुड़े रास्ते
कुछ दूर संग चले तो थे
दोबारा मिलेंगे किसी मोड़ पे
जो बाकी है वो बात होगी कभी
चलो आज चलते हैं हम
फिर मुलाकात होगी कभी
फिर मुलाकात होगी कभी
जुदा हो रहे हैं कदम
फिर मुलाकात होगी कभी

दुखाऊँ मैं दिल जाते-जाते तेरा
मेरा ऐसा कोई इरादा नहीं
छुपा लूँगा/गी मैं हँस के आँसू मेरे
ये तेरी ख़ुशी से तो ज़्यादा नहीं
जो बिछड़े नहीं तो फिर क्या मज़ा
ज़रूरी है रहनी भी थोड़ी कमी
नहीं होगा कुछ भी ख़तम
फिर मुलाकात होगी कभी...

सितारों की इस भीड़ को गौर से
एक आखिरी बार फिर देख लो
ये जो दो अलग से हैं बैठे हुए
ये तुम हो, ये मैं हूँ, यही मान लो
ये दिन में नहीं नज़र आएँगे
मगर कल को जब रात होगी कभी
जो ये रोशनी होगी कम
फिर मुलाकात होगी कभी...",Phir Mulaaqat,फिर मुलाक़ात,2019, Why Cheat India,व्हाई चीट इंडिया,कुणाल-रंगून,कुणाल वर्मा,"Jubin Nautiyal,  RII",ज़ुबिन नौटियाल
"तेरी चढ़ती जवानी मैनू किल करी जावे
अक्खां नू मिलावे कदी अक्खां नू चुरावे (करदी आ)
अक्खां नू मिलावे कदी अक्खां नू चुरावे
अंबरा दी राणी देखो हाथ वी ना आवे (करदी आ)
चोरी - चोरी, चोरी - चोरी, चोरी - चोरी
इशारे करदी आ
कुड़ी दारू वर्गी आ
कुड़ी दारू वर्गी आ
ओ होड़ी होड़ी चढ़दी आ
जद कोई दिल मंगदा
ओह ना ना ना ना करदी आ (करदी आ)
कुड़ी दारू वर्गी आ...

(दारू वर्गी, दारू वर्गी आ
दारू वर्गी, दारू वर्गी आ )

वर्ल्डवाईड हो गये तेरे हुस्न दे चर्चे
दिल्ली तो लाहोर मुंडे पागल तू करते
दुबई वाले शेख बिल्लो तेरे उत्ते मरदे
गुरु गुरु, गुरु गुरु, गुरु गुरु
क्यूँ केह्नो डरदी आ
कुड़ी दारू वर्गी आ...

दूर क्यूँ है तू आजा नाल मेरे नच ले
दिल मेरा ले ले दिल अपणेच रख ले
प्यार नाल नी ता मैनू गुस्से नाल तक्क ले
मेहंगे मेहंगे, मेहंगे मेहंगे
मेहंगे मेहंगे ब्रन्डा उत्ते मर्दी आ
कुड़ी दारू वर्गी आ...",Daru Wargi,दारू वर्गी,2019, Why Cheat India,व्हाई चीट इंडिया,गुरु रंधावा,गुरु रंधावा,Guru Randhawa,गुरु रंधावा
"चल दिया, दिल तेरे पीछे पीछे
देखता, मैं रह गया
कुछ तो है, तेरे मेरे दरमियाँ
जो अनकहा, सा रह गया
मैं जो कभी, कह ना सका/की
आज कहता/ती हूँ पहली दफ़ा
दिल में हो तुम, आँखों में तुम
पहली नज़र से ही यारा
दिल में हो तुम...

ये इश्क की, है साज़िशें
लो आ मिले हम दोबारा
दिल में हो तुम...

सरफ़िरा सा मैं मुसाफ़िर
पाँव कहीं ठहरे ना मेरे
फिर मेरी आवारगी को
आने लगे ख्वाब तेरे
ये प्यार भी, क्या कैद है
कोई होना न चाहे रिहा
दिल में हो तुम...

तेरे बिन ये सारे मौसम
बेरंग थे बेमज़ा थे
शामिल नहीं थी/था तू जिनमें
वो सारे पल बेवजह थे
वो ज़िंदगी, है ही नहीं
जो मैं तेरे बिना जी लिया/गई
दिल में हो तुम...",Dil Mein Ho Tum,दिल में हो तुम,2019, Why Cheat India,व्हाई चीट इंडिया,रोचक कोहली,मनोज मुंतशिर,"Armaan Malik,  Tulsi Kumar","अरमान मलिक, तुलसी कुमार"
"दिल की गिरह खोल दो
चुप ना बैठो, कोई गीत गाओ
महफ़िल में अब कौन है अजनबी
तुम मेरे पास आओ
दिल की गिरह खोल दो...

मिलने दो अब दिल से दिल को
मिटने दो मजबूरियों को
शीशे में अपने डुबो दो
सब फ़ासलो दूरियों को
आँखों में मैं मुस्कुराऊँ तुम्हारी
जो तुम मुस्कुराओ
महफ़िल मे अब कौन...

हम तुम ना हम तुम रहें अब
कुछ और ही हो गये अब
सपनों के झिलमिल नगर में
जाने कहाँ खो गये अब
हमराह पूछे किसी से
न तुम अपनी मंज़िल बताओ
महफ़िल मे अब कौन...

कल हमसे पूछे ना कोई
क्या हो गया था तुम्हें कल
मुड़कर नहीं देखते हम
दिल ने कहा है चला चल
जो दूर पीछे कहीं रह गये
अब उन्हें मत बुलाओ
महफ़िल मे अब कौन...",Dil Ki Girah,दिल की गिरह,1967, Raat Aur Din,रात और दिन,शंकर-जयकिशन,शैलेन्द्र,"Lata Mangeshkar,  Manna Dey","लता मंगेशकर, मन्ना डे"
"आज़ादी
भुखमारी से, आज़ादी
हाँ भेद भाव से, आज़ादी
हाँ पक्षवाद से, आज़ादी
हम ले के रहेंगे, आज़ादी
तुम कुछ भी कर लो, आज़ादी
आज़ादी...

तेरा पिंजरा में जाल न खाणा
परिंदेया ने उड जाणा तेरा पिंजरा
तेरा मुख जाना सारा लाणा बाणा
परिंदेया ने उड जाना तेरा पिंजरा
तेरा पिंजरा में जाल न खाणा
परिंदेया ने उड जाणा तेरा पिंजरा
तेरा मुख जाना सारा लाणा बाणा
परिंदेया ने उड जाना तेरा
फ्रीडम, फ्रीडम

हाँ बहोत बैठे चुप चाप
क्या घंटे का इंसाफ़
देश कैसे होगा साफ़
इनकी नीयत में है दाग़
सिर्फ करते रहेंगे बात
अलग शकल वही जात
वोट मिलें पर ये खास
फिर ग़ायब पूरे साल
हाँ मेरा भाई है तो
नोटों की सरकार है ना
नोट से बनाते अपने
बेटों को ये स्टार है ना
कितने बेकार क्यूँ ये
आपस में झंकार है ना
बाकी पूरा देश डूबे
इनकी नैया पार है ना
अच्छी विद्या चाहिए
अच्छा खासा माल देना
नल में पानी चाहिए
खड़े रहले लाइन में ना
ज़मीन अपनी पर
नोट दिखा कर साइन लेना
ड्रग्स लाए ये फिर
धकेल देंगे क्राइम में ना
अकेला इन्सान फिर गाड़ी तेरी चार क्यूँ
घर में है चार फ़िर रूम्स तेरे आठ क्यूँ
पैसों से नहीं बनते कुदरत से हम खास क्यूँ
तेरी पीढ़ी का सोच वो कैसे लेंगे साँस क्यूँ

(क्या शू)
एक तरफा तराज़ू
(क्या शू)
हाँ तेरी हँसी मेरे आँसू
(क्या शू)
हाँ घुट-घुट के क्यूँ साँस लूँ
(क्या शू)
उसे देगा क्या हिसाब तू
हो तेरा पिंजरा में...

हाँ नहीं बनना मुझे स्लमडॉग मिलियनेर
ये स्लमडॉग है मिशन पे, सिस्टम के
कीड़े छोड़े इनके अपने कफ़न पे, बचपन से
छुरा रखा है इन्होंने अपने गर्दन पे
मस्तक में ये लिखते गलत
सीखते गलत छींकते हलक
पर किसी को परवाह नहीं
ये शैतान हैं इंसान नहीं
धरम के नाम पे काम वही
धरम बनाया इंसान ने ही
पैसों के लिए ये था सभी
दिमाग लड़ा कर जान के भी
धँसने लगा तू कान का भी
इस्तेमाल कर तू ज़बान का भी
अनदेखा क्यूँ है जान के भी
अनदेखा क्यूँ है जान के भी
सच्चाई में तू समा कभी
अच्छाई से तू कमा कभी
इस गंध को करना साफ़ अभी
इस गंध को करना साफ़ अभी
इस गंध को करना साफ़ अभी
क्या शू...

हाँ, हो बोलो आज़ादी
बोलो आज़ादी
हो बोलो आज़ादी
हो बोलो आज़ादी
हो बोलो आज़ादी
गिव मी फ्रीडम",Azadi,आज़ादी,2019, Gully Boy,गली बॉय,"डिवाइन, डब शर्मा","डिवाइन, डब शर्मा","Divine,  Dub Sharma","डिवाइन, डब शर्मा"
"शेर की ज़ुबानी सुन ये शेर की कहानी
यहाँ रैप नहीं होता तेरे वहम को भगा दी
लड़कियाँ ना गाड़ी अपनी अलग ही आबादी
असल रैप का ये ज्वाला तेरे आत्मा में जगा दी
क्यूँकि फरक है
आ तुझ छेड़ने की तलब है
तू नकली वाला मरद
मर्दानगी पे कलंक
हैवानियत की शकल
जितनी तुझमे गरमी उससे
ज़्यादा गरम मेरा कलम
क्यूँ इतना बेशरम
क्या काम का वो आज
जिसमें तेरा कल नहीं
क्या काम का वो काम
जिसमे तू सफ़ल नहीं
बल नहीं, दिमाग की ज़रूरत
तेरे भाई की हुकूमत
सच्चाई की ये सूरत

आ भाग भाग भाग आया
शेर आया शेर
आ भाग भाग भाग आया..
सच्चाई की है लहर
हर मोहल्ले में कहर

आ दादागीरी बंद कर
तू चल तो संभल कर
खुद को तू ढूंढ के
तू उसको अमल कर
नकली गुरुर, उसको मसल कर
नकली वजूद, उसको कुचल कर
आ ज़रा कम कर
शाणेगीरी कम कर
आ ज़रा कम कर
लुख्खेगीरी कम कर
आ ठंडा कर जो
बुख़ार तेरे सर पर कम कर
गुरूर ये ख़तम कर
आ ज़रा कम कर...
आ भाग भाग भाग आया...",Sher Aaya Sher,शेर आया शेर,2019, Gully Boy,गली बॉय,मेजर सी,डिवाइन,"Major C,  Divine","डिवाइन, मेजर सी"
