Song,Film,Year,Music Director,Lyricist,Singers
http://giitaayan.com/viewisbsong.asp?id=13778,Roop Ki Raani Choron Kaa Raajaa,1993,Laxmikant-Pyarelal,Javed Akhtar,Amit Kumar
http://giitaayan.com/viewisbsong.asp?id=12776,Mr Romeo,1996,A R Rahman,P K Mishra,"Hariharan, Chorus"
http://giitaayan.com/viewisbsong.asp?id=10873,Chaahat,1971,Laxmikant-Pyarelal,Anand Bakshi,"Mukesh, Lata"
http://giitaayan.com/viewisbsong.asp?id=12296,Kabhi Khushi Kabhi Gham,2002,Aadesh Srivastava,Sameer,"Alka Yagnik, Sunidhi Chauhan, ..."
http://giitaayan.com/viewisbsong.asp?id=10127,Aakrosh/ A Cyclone of Anger,1998,Anand Raj Anand,Faiz Anwar,"Kavita Subramaniam, Chorus"
http://giitaayan.com/viewisbsong.asp?id=2253,Soldier,1998,Annu Malik,Sameer,"Kumar Sanu, Alka Yagnik"
http://giitaayan.com/viewisbsong.asp?id=3456,Duniya Na Maane/ The Unexpected,1937,Keshavrao Bhole,H W Longfellow,Shanta Apte
http://giitaayan.com/viewisbsong.asp?id=12070,Jungle,2000,Sandeep Chowtha,Sameer,"Sonu Nigam, Sadhana Sargam"
http://giitaayan.com/viewisbsong.asp?id=10838,Chhotaa Saa Ghar,1996,Rajesh Roshan,Indeevar,"Kumar Sanu, Sadhana Sargam"
http://giitaayan.com/viewisbsong.asp?id=2254,Sapne,1997,A R Rahman,Javed Akhtar,"K Kay, Kavita Paudwal"
http://giitaayan.com/viewisbsong.asp?id=11571,Ghazab Tamaashaa,1992,Anand-Milind,Sameer,"Kumar Sanu, Alka Yagnik"
http://giitaayan.com/viewisbsong.asp?id=13738,Rajaji,1999,Anand-Milind,Sameer,"Kumar Sanu, Sapana Mukherji"
http://giitaayan.com/viewisbsong.asp?id=11675,Hindustani,1996,A R Rahman,P K Mishra,"Hariharan, Kavita Krishnamurthy"
http://giitaayan.com/viewisbsong.asp?id=11997,Ishq Vishk,2003,Annu Malik,Sameer,"Sonu Nigam, Alisha Chinai"
http://giitaayan.com/viewisbsong.asp?id=12263,Jhankaar Beats,2003,Vishal-Shekhar,Vishal Dadlani,Sudesh Bhosle
http://giitaayan.com/viewisbsong.asp?id=14390,Taajmahal,2001,Santosh Nair,Rahul B Seth,Sunidhi Chauhan
http://giitaayan.com/viewisbsong.asp?id=20834,Purab aur Paschim,1970,Kalyanji-Anandji,Prem Dhawan,"Mahendra Kapoor, Asha"
http://giitaayan.com/viewisbsong.asp?id=4,Humse Hai Muqaabalaa/ Sachchaa Premi,1995,A R Rahman,P K Mishra,"A R Rahman, Noel James, Shanka..."
http://giitaayan.com/viewisbsong.asp?id=15221,Sone Ki Chidiyaa,1958,O P Nayyar,Kaifi Azmi,Kaifi Azmi
http://giitaayan.com/viewisbsong.asp?id=12632,Khamoshi,1969,Hemant Kumar,Gulzar,Aarti Mukherjii
http://giitaayan.com/viewisbsong.asp?id=13690,Pyaasa,1957,S D Burman,Sahir,"Rafi, Male voice, Female voice"
http://giitaayan.com/viewisbsong.asp?id=13688,Pyaasa,1957,S D Burman,Jalil Manikpuri,Guru Dutt
http://giitaayan.com/viewisbsong.asp?id=13686,Pyaasa,1957,S D Burman,Sahir,
http://giitaayan.com/viewisbsong.asp?id=13689,Pyaasa,1957,S D Burman,Majaz Lucknavi,Majaz Lucknavi
http://giitaayan.com/viewisbsong.asp?id=13687,Pyaasa,1957,S D Burman,Sahir,"Rafi, Male voice"
http://giitaayan.com/viewisbsong.asp?id=13685,Pyaasa,1957,S D Burman,Sahir,Rafi
